app_group,total_reviews,m_fan_interaction,m_content_depth,m_ecosystem,m_community,m_algo_accuracy,g_price,g_audio,g_ux,g_ads,negative_reviews,neutral_reviews,positive_reviews,m_fan_interaction_pct,m_content_depth_pct,m_ecosystem_pct,m_community_pct,m_algo_accuracy_pct,g_price_pct,g_audio_pct,g_ux_pct,g_ads_pct,negative_reviews_pct,neutral_reviews_pct,positive_reviews_pct
bytedance,79,1,4,0,0,3,26,5,42,26,49,12,18,1.2658227848101267,5.063291139240507,0.0,0.0,3.79746835443038,32.91139240506329,6.329113924050633,53.16455696202531,32.91139240506329,62.0253164556962,15.18987341772152,22.78481012658228
netease,64,0,2,0,4,1,13,1,37,9,48,6,10,0.0,3.125,0.0,6.25,1.5625,20.3125,1.5625,57.8125,14.0625,75.0,9.375,15.625
tencent music,357,9,33,5,12,4,90,27,114,57,157,22,178,2.5210084033613445,9.243697478991598,1.400560224089636,3.361344537815126,1.1204481792717087,25.210084033613445,7.563025210084033,31.932773109243694,15.966386554621847,43.977591036414566,6.162464985994398,49.85994397759104
